"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2000","16,563","16,771","16,771","16,515","146.91M","-1.23%"
"09/18/2000","15,913","16,562","16,609","15,913","170.11M","-3.92%"
"09/19/2000","16,188","15,923","16,189","15,824","196.00M","1.73%"
"09/20/2000","16,078","16,196","16,216","15,813","165.99M","-0.68%"
"09/21/2000","16,146","16,065","16,172","15,946","188.19M","0.42%"
"09/22/2000","16,353","16,093","16,426","15,705","168.80M","1.28%"
"09/25/2000","16,319","16,361","16,521","16,318","133.37M","-0.21%"
"09/26/2000","16,255","16,319","16,468","16,196","115.35M","-0.39%"
"09/27/2000","15,848","16,289","16,404","15,745","219.74M","-2.50%"
"09/28/2000","16,014","15,849","16,041","15,657","129.30M","1.05%"
"09/29/2000","15,928","16,020","16,135","15,821","154.24M","-0.54%"
"10/02/2000","15,559","15,950","16,090","15,537","135.00M","-2.32%"
"10/03/2000","15,633","15,562","15,917","15,562","145.39M","0.48%"
"10/04/2000","15,876","15,653","15,883","15,651","151.12M","1.55%"
"10/05/2000","16,362","15,876","16,398","15,876","225.51M","3.06%"
"10/06/2000","15,946","16,370","16,404","15,817","186.54M","-2.54%"
"10/09/2000","15,855","15,946","15,975","15,617","127.07M","-0.57%"
"10/10/2000","15,747","15,846","16,008","15,726","137.75M","-0.68%"
"10/11/2000","15,526","15,738","15,738","15,463","956.26M","-1.40%"
"10/13/2000","15,385","15,441","15,441","15,067","153.15M","-0.91%"
"10/16/2000","15,242","15,387","15,585","15,214","208.86M","-0.93%"
"10/17/2000","14,870","15,267","15,386","14,841","153.11M","-2.44%"
"10/18/2000","14,421","14,837","14,837","14,218","461.63M","-3.02%"
"10/19/2000","14,845","14,490","14,869","14,490","240.49M","2.94%"
"10/20/2000","14,529","14,846","14,918","14,490","152.31M","-2.13%"
"10/23/2000","13,990","14,533","14,535","13,982","154.04M","-3.71%"
"10/24/2000","13,799","14,014","14,161","13,672","217.46M","-1.37%"
"10/25/2000","13,665","13,796","13,927","13,571","189.14M","-0.97%"
"10/26/2000","14,223","13,705","14,223","13,679","176.02M","4.08%"
"10/27/2000","14,692","14,251","14,700","14,251","161.67M","3.30%"
"10/30/2000","14,891","14,707","14,951","14,489","144.39M","1.35%"
"10/31/2000","14,867","14,916","15,099","14,859","211.51M","-0.16%"
"11/01/2000","14,791","14,858","14,859","14,571","137.45M","-0.51%"
"11/03/2000","14,534","14,785","14,925","14,425","165.20M","-1.74%"
"11/06/2000","14,801","14,534","14,868","14,478","131.24M","1.84%"
"11/07/2000","14,969","14,780","15,029","14,543","178.65M","1.14%"
"11/08/2000","14,656","14,982","15,191","14,650","171.51M","-2.09%"
"11/09/2000","14,524","14,667","14,782","14,409","167.97M","-0.90%"
"11/10/2000","14,626","14,542","14,701","14,449","125.04M","0.70%"
"11/13/2000","14,372","14,606","14,609","14,199","181.47M","-1.74%"
"11/14/2000","14,540","14,395","14,632","14,395","191.28M","1.17%"
"11/16/2000","14,490","14,546","14,575","14,419","114.62M","-0.34%"
"11/17/2000","14,323","14,479","14,570","14,091","164.96M","-1.15%"
"11/20/2000","14,500","14,323","14,535","14,103","212.28M","1.24%"
"11/21/2000","14,784","14,497","14,845","14,487","191.61M","1.96%"
"11/22/2000","14,577","14,766","14,766","14,555","175.35M","-1.40%"
"11/23/2000","14,314","14,579","14,604","14,187","124.08M","-1.80%"
"11/24/2000","14,336","14,316","14,413","14,190","117.78M","0.15%"
"11/27/2000","14,008","14,340","14,495","13,941","146.83M","-2.29%"
"11/28/2000","13,914","14,011","14,011","13,756","162.84M","-0.67%"
"11/29/2000","13,788","13,921","14,074","13,782","168.56M","-0.91%"
"11/30/2000","13,287","13,779","13,779","13,287","189.86M","-3.63%"
"12/01/2000","13,437","13,303","13,578","13,282","168.39M","1.13%"
"12/04/2000","13,510","13,396","13,538","13,242","124.44M","0.54%"
"12/05/2000","14,182","13,513","14,188","13,513","200.19M","4.97%"
"12/06/2000","13,945","14,180","14,277","13,945","194.42M","-1.67%"
"12/07/2000","14,460","13,947","14,460","13,918","159.54M","3.69%"
"12/08/2000","14,983","14,462","15,062","14,461","249.51M","3.62%"
"12/11/2000","15,187","14,991","15,355","14,991","218.10M","1.36%"
"12/12/2000","14,906","15,186","15,186","14,869","166.69M","-1.85%"
"12/13/2000","15,291","14,916","15,389","14,900","281.58M","2.58%"
"12/14/2000","15,259","15,261","15,329","15,080","139.60M","-0.21%"
"12/15/2000","14,988","15,253","15,253","14,833","116.07M","-1.78%"
"12/18/2000","15,083","15,002","15,282","15,002","333.14M","0.63%"
"12/19/2000","15,336","15,085","15,415","15,085","290.60M","1.68%"
"12/20/2000","14,622","15,306","15,328","14,618","257.09M","-4.66%"
"12/21/2000","14,505","14,727","14,958","14,461","233.72M","-0.80%"
"12/22/2000","14,652","14,533","14,802","14,532","120.65M","1.01%"
"12/26/2000","14,795","14,663","14,851","14,659","122.43M","0.98%"
"12/27/2000","15,186","14,804","15,223","14,804","239.98M","2.64%"
"12/28/2000","15,259","15,188","15,269","15,132","324.26M","0.48%"
"01/02/2001","15,425","15,242","15,621","15,174","230.63M","1.09%"
"01/03/2001","16,599","15,425","16,599","15,251","381.20M","7.61%"
"01/04/2001","16,675","16,597","16,933","16,587","331.23M","0.46%"
"01/05/2001","16,410","16,679","16,888","16,380","199.69M","-1.59%"
"01/08/2001","16,562","16,398","16,623","16,226","160.70M","0.93%"
"01/09/2001","16,976","16,566","17,096","16,566","346.48M","2.50%"
"01/10/2001","16,919","16,964","17,093","16,701","256.51M","-0.34%"
"01/11/2001","17,024","16,908","17,045","16,797","201.85M","0.62%"
"01/12/2001","16,850","17,034","17,212","16,821","212.47M","-1.02%"
"01/15/2001","16,963","16,858","17,038","16,858","955.31M","0.67%"
"01/16/2001","16,721","16,973","17,035","16,662","214.89M","-1.43%"
"01/17/2001","17,191","16,748","17,255","16,745","401.27M","2.81%"
"01/18/2001","17,521","17,204","17,642","17,151","652.57M","1.92%"
"01/19/2001","17,530","17,525","17,816","17,512","290.07M","0.05%"
"01/22/2001","17,392","17,548","17,578","17,297","152.63M","-0.79%"
"01/23/2001","17,832","17,381","17,864","17,376","325.48M","2.53%"
"01/24/2001","17,772","17,849","18,022","17,698","361.24M","-0.34%"
"01/26/2001","17,889","17,776","17,933","17,591","260.42M","0.66%"
"01/29/2001","17,883","17,906","18,023","17,704","198.93M","-0.03%"
"01/30/2001","17,723","17,882","17,898","17,668","285.83M","-0.89%"
"01/31/2001","17,673","17,725","17,921","17,637","213.72M","-0.28%"
"02/01/2001","17,039","17,670","17,673","16,977","319.39M","-3.59%"
"02/02/2001","16,915","17,027","17,206","16,781","199.36M","-0.73%"
"02/05/2001","16,731","16,914","16,941","16,539","137.05M","-1.09%"
"02/06/2001","17,007","16,734","17,017","16,734","149.52M","1.65%"
"02/07/2001","16,812","17,003","17,003","16,630","176.16M","-1.15%"
"02/08/2001","17,243","16,814","17,279","16,814","205.56M","2.56%"
"02/09/2001","17,138","17,257","17,270","17,050","161.35M","-0.61%"
"02/12/2001","16,917","17,163","17,234","16,883","134.71M","-1.29%"
"02/13/2001","17,096","16,922","17,174","16,883","146.75M","1.06%"
"02/14/2001","17,120","17,078","17,286","16,890","239.22M","0.14%"
"02/15/2001","16,937","17,121","17,262","16,922","153.59M","-1.07%"
"02/16/2001","16,259","16,934","16,950","16,100","252.53M","-4.00%"
"02/19/2001","16,061","16,263","16,392","16,023","150.63M","-1.22%"
"02/20/2001","15,911","16,066","16,242","15,783","213.82M","-0.93%"
"02/21/2001","15,594","15,909","15,909","15,568","238.95M","-1.99%"
"02/22/2001","15,910","15,604","15,914","15,558","205.35M","2.03%"
"02/23/2001","16,158","15,920","16,223","15,831","170.63M","1.56%"
"02/28/2001","15,891","16,158","16,274","15,891","188.36M","-1.65%"
"03/01/2001","16,417","15,891","16,439","15,875","153.37M","3.31%"
"03/02/2001","16,581","16,423","16,723","16,233","184.54M","1.00%"
"03/05/2001","16,537","16,620","16,737","16,471","121.32M","-0.27%"
"03/06/2001","16,324","16,573","16,813","16,279","199.21M","-1.29%"
"03/07/2001","16,395","16,329","16,430","16,223","179.00M","0.43%"
"03/08/2001","16,227","16,401","16,531","16,096","218.55M","-1.02%"
"03/09/2001","16,123","16,233","16,248","16,018","161.62M","-0.64%"
"03/12/2001","15,527","16,125","16,143","15,523","163.54M","-3.70%"
"03/13/2001","15,584","15,536","15,768","15,444","228.08M","0.37%"
"03/14/2001","15,245","15,583","15,583","15,070","228.52M","-2.18%"
"03/15/2001","15,061","15,252","15,482","14,977","202.50M","-1.21%"
"03/16/2001","15,237","15,076","15,356","15,047","143.29M","1.17%"
"03/19/2001","14,836","15,249","15,378","14,802","154.66M","-2.63%"
"03/20/2001","14,903","14,854","15,077","14,854","228.30M","0.45%"
"03/21/2001","14,853","14,914","15,198","14,755","179.48M","-0.34%"
"03/22/2001","14,067","14,847","14,847","13,761","332.42M","-5.29%"
"03/23/2001","14,435","14,070","14,435","13,855","269.82M","2.62%"
"03/26/2001","14,712","14,443","14,912","14,443","219.81M","1.92%"
"03/27/2001","14,835","14,733","14,951","14,594","217.41M","0.84%"
"03/28/2001","14,632","14,846","14,852","14,574","159.93M","-1.37%"
"03/29/2001","14,282","14,647","14,713","14,226","250.41M","-2.39%"
"03/30/2001","14,438","14,292","14,438","13,922","256.61M","1.09%"
"04/02/2001","13,981","14,441","14,482","13,981","154.24M","-3.17%"
"04/03/2001","13,737","13,988","14,001","13,664","171.49M","-1.75%"
"04/04/2001","13,855","13,740","14,135","13,740","253.28M","0.86%"
"04/05/2001","14,443","13,865","14,482","13,865","271.47M","4.24%"
"04/06/2001","14,485","14,428","14,702","14,371","226.03M","0.29%"
"04/09/2001","14,719","14,489","14,719","14,446","226.88M","1.62%"
"04/10/2001","15,048","14,725","15,097","14,725","264.00M","2.24%"
"04/11/2001","14,819","15,057","15,267","14,724","292.05M","-1.52%"
"04/12/2001","14,969","14,811","14,969","14,490","163.26M","1.01%"
"04/16/2001","14,445","14,974","14,976","14,385","175.43M","-3.50%"
"04/17/2001","14,337","14,443","14,555","14,223","208.53M","-0.75%"
"04/18/2001","14,955","14,345","15,151","14,323","318.38M","4.31%"
"04/19/2001","14,431","14,956","15,017","14,420","239.25M","-3.50%"
"04/20/2001","13,696","14,408","14,408","13,618","308.75M","-5.09%"
"04/23/2001","13,893","13,734","13,893","13,325","187.58M","1.44%"
"04/24/2001","14,068","13,894","14,207","13,894","162.74M","1.26%"
"04/25/2001","14,163","14,062","14,223","13,785","272.85M","0.68%"
