"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/1992","1,719.59","1,719.59","1,719.59","1,719.59","44.44M","0.34%"
"12/16/1992","1,713.77","1,713.77","1,713.77","1,713.77","52.09M","0.13%"
"12/15/1992","1,711.62","1,711.62","1,711.62","1,711.62","24.35M","-0.72%"
"12/14/1992","1,724.03","1,724.03","1,724.03","1,724.03","27.67M","-0.20%"
"12/11/1992","1,727.41","1,727.41","1,727.41","1,727.41","20.99M","-0.21%"
"12/10/1992","1,731.00","1,731.00","1,731.00","1,731.00","27.67M","-0.66%"
"12/09/1992","1,742.55","1,742.55","1,742.55","1,742.55","43.33M","-0.33%"
"12/08/1992","1,748.25","1,748.25","1,748.25","1,748.25","54.15M","1.42%"
"12/07/1992","1,723.78","1,723.78","1,723.78","1,723.78","34.87M","0.57%"
"12/04/1992","1,713.95","1,713.95","1,713.95","1,713.95","40.38M","0.88%"
"12/03/1992","1,698.99","1,698.99","1,698.99","1,698.99","32.05M","0.65%"
"12/02/1992","1,687.97","1,687.97","1,687.97","1,687.97","46.57M","-0.07%"
"12/01/1992","1,689.13","1,689.13","1,689.13","1,689.13","49.58M","-1.55%"
"11/30/1992","1,715.69","1,715.69","1,715.69","1,715.69","34.90M","-0.67%"
"11/27/1992","1,727.23","1,727.23","1,727.23","1,727.23","62.02M","1.39%"
"11/26/1992","1,703.49","1,703.49","1,703.49","1,703.49","30.57M","0.70%"
"11/25/1992","1,691.60","1,691.60","1,691.60","1,691.60","78.62M","0.00%"
"11/24/1992","1,691.54","1,691.54","1,691.54","1,691.54","90.84M","0.73%"
"11/23/1992","1,679.33","1,679.33","1,679.33","1,679.33","51.83M","2.76%"
"11/19/1992","1,634.15","1,634.15","1,634.15","1,634.15","34.87M","0.43%"
"11/18/1992","1,627.23","1,627.23","1,627.23","1,627.23","46.12M","1.19%"
"11/17/1992","1,608.16","1,608.16","1,608.16","1,608.16","47.95M","1.42%"
"11/16/1992","1,585.71","1,585.71","1,585.71","1,585.71","22.73M","-1.39%"
"11/13/1992","1,608.08","1,608.08","1,608.08","1,608.08","31.19M","-1.44%"
"11/12/1992","1,631.60","1,631.60","1,631.60","1,631.60","32.63M","-1.23%"
"11/11/1992","1,651.92","1,651.92","1,651.92","1,651.92","60.05M","-0.24%"
"11/10/1992","1,655.84","1,655.84","1,655.84","1,655.84","89.84M","0.79%"
"11/09/1992","1,642.78","1,642.78","1,642.78","1,642.78","47.09M","2.06%"
"11/06/1992","1,609.60","1,609.60","1,609.60","1,609.60","98.10M","2.61%"
"11/05/1992","1,568.59","1,568.59","1,568.59","1,568.59","40.29M","1.35%"
"11/04/1992","1,547.75","1,547.75","1,547.75","1,547.75","47.75M","-0.68%"
"11/03/1992","1,558.40","1,558.40","1,558.40","1,558.40","39.87M","-2.44%"
"10/30/1992","1,597.33","1,597.33","1,597.33","1,597.33","75.96M","2.05%"
"10/29/1992","1,565.30","1,565.30","1,565.30","1,565.30","65.01M","1.04%"
"10/28/1992","1,549.19","1,549.19","1,549.19","1,549.19","43.75M","0.80%"
"10/27/1992","1,536.96","1,536.96","1,536.96","1,536.96","41.66M","-1.32%"
"10/26/1992","1,557.47","1,557.47","1,557.47","1,557.47","24.87M","-0.51%"
"10/23/1992","1,565.40","1,565.40","1,565.40","1,565.40","36.91M","-0.28%"
"10/22/1992","1,569.83","1,569.83","1,569.83","1,569.83","42.97M","0.61%"
"10/21/1992","1,560.36","1,560.36","1,560.36","1,560.36","86.41M","0.33%"
"10/20/1992","1,555.22","1,555.22","1,555.22","1,555.22","76.87M","3.02%"
"10/19/1992","1,509.69","1,509.69","1,509.69","1,509.69","32.67M","1.21%"
"10/16/1992","1,491.66","1,491.66","1,491.66","1,491.66","53.48M","2.53%"
"10/15/1992","1,454.79","1,454.79","1,454.79","1,454.79","39.94M","1.55%"
"10/14/1992","1,432.61","1,432.61","1,432.61","1,432.61","33.20M","0.32%"
